Localidad;Temperatura;ppm;Peso_bollante;Volumen cm;Largo;Ancho ;Alto;Peso_total;Margen_crecimiento;Peso_seco_concha;Pseco_mb;Peso_libre_ceniza;r3;pendiente;extensi¢n_max;carga_max;ph Promedio (25øC);Salinidad;Temperatura ;Alcalinidad_total (æmol kg-1);pCO2 (æatm);?calcita;?aragonita
Quintay;10øC;500ppm;-0.0067;-1.732.228.226;0.050;0.240;0.010;0.288;0.624;0.586;0.0232;0.0039;0.9596;276;0.17547;49;799.475;32.425;10.75;2.341.210.252;2.845.317.768;2.852.151.616;1.782.977.997
Quintay;10øC;500ppm;-0.0008;0.946700119;-0.020;0.030;-0.200;0.180;0.570;0.392;0.0182;0.004;0.9384;244;0.36688;86;799.475;32.425;10.75;2.282.585.588;2.773.394.006;277.785.532;1.736.532.829
Quintay;10øC;500ppm;0.0339;-585.390.066;-0.200;0.630;0.600;0.058;0.558;0.309;0.0165;0.0028;0.9493;734;0.20375;135;8.018.375;32.8;10.5;2.400.913.065;2.761.856.477;306.737.586;1.919.238.755
Quintay;15øC;1500ppm;0.0188;-845.717.552;-0.550;0.670;0.340;0.194;0.586;0.456;0.0256;0.0048;0.954;728;0.19968;132;7.746.375;31.725;15.5;2.277.701.648;4.437.929.771;1.875.063.228;1.170.069.126
Quintay;15øC;1500ppm;0.0269;-3.365.306.974;0.340;0.420;0.310;0.042;0.426;0.377;0.0211;0.0042;0.9919;233;0.21172;44;7.746.375;31.725;15.5;2.270.273.438;4.423.423.693;1.868.753.247;1.166.131.598
Quintay;15øC;1500ppm;0.0555;-2.594.715.136;-0.030;0.000;0.390;0.163;0.486;0.326;0.0231;0.0041;0.9898;441;0.21047;85;784.275;32.225;15.4;2.326.660.171;3.511.568.631;2.381.293.275;1.487.890.545
Quintay;10øC;1500ppm;0.0302;-1.350.909.916;-2.310;-0.080;0.750;0.116;0.540;0.458;0.0327;0.0052;0.9793;519;0.17016;78;7.651;32.575;10.6;1.983.423.193;591.424.838;113.813.882;0.711748265
Quintay;15øC;1500ppm;0.0169;-0.027367738;0.370;0.300;-0.040;0.089;0.350;0.126;0.0085;0.0028;0.9429;338;0.18515;61;784.275;32.225;15.4;2.327.863.037;3.513.387.897;2.382.572.572;1.488.689.882
Quintay;10øC;500ppm;-0.0003;-0.76294464;0.060;0.150;0.000;0.244;0.498;0.461;0.0275;0.0062;0.9046;358;0.42765;142;80.905;31.75;10.8;230.964.649;2.179.546.659;338.230.452;2.110.752.232
Quintay;15øC;1500ppm;-0.0012;-1.730.469.323;-0.020;0.620;-0.320;0.155;0.634;0.671;0.0327;0.0049;0.9876;470;0.59016;286;7.777.375;31.475;16;2.336.868.346;4.122.151.713;2.086.260.747;1.300.978.001
Quintay;10øC;1500ppm;0.0256;-5.613.664.954;0.240;0.690;0.440;0.087;0.640;0.443;0.0188;0.0029;0.9669;444;0.21062;81;781.375;32.925;10.5;2.316.039.204;4.552.422.177;1.921.871.781;1.202.850.371
Quintay;15øC;1500ppm;-0.0047;-5.131.702.502;-0.220;0.280;0.550;0.136;0.458;0.272;0.0141;0.0027;0.898;449;0.15797;69;7.777.375;31.475;16;2.292.987.167;4.044.643.007;2.045.749.608;1.275.715.531
Quintay;15øC;1500ppm;0.0167;0.133799461;-0.090;-0.210;0.070;0.049;0.308;0.087;0.0112;0.0064;0.9784;306;0.15718;44;770.775;32.2;15.3;1.888.990.896;4.089.829.015;1.421.236.802;0.887967852
Quintay;15øC;1500ppm;0.0194;-840.462.381;-0.540;0.100;0.750;0.056;0.616;0.551;0.0268;0.0059;0.9835;343;0.32688;110;770.775;32.2;15.3;1.916.529.263;4.149.753.435;144.265.605;0.901350283
Quintay;15øC;1500ppm;0.0238;-1.237.947.211;-1.370;0.420;1.130;0.092;0.576;0.323;0.0158;0.0025;0.9837;434;0.20156;78;7.840.125;31.625;16;2.136.018.581;3.184.367.791;2.184.942.486;1.363.072.499
Quintay;15øC;1500ppm;0.0117;-6.507.146.846;-0.250;0.820;0.450;0.070;0.640;0.317;0.017;0.0025;0.9716;533;0.10953;53;7.840.125;31.625;16;2.092.066.811;311.867.913;2.138.103.564;133.385.212
Quintay;15øC;1500ppm;0.0306;1.766.874.316;0.170;-0.280;-0.380;0.092;0.516;0.124;0.0051;0.0007;0.9801;362;0.14781;48;773.025;32.35;15.4;2.021.101.059;4.104.828.725;1.612.205.755;1.007.659.412
Quintay;15øC;500ppm;0.0089;6.223.554.355;0.100;0.170;-1.120;0.142;0.424;0.360;0.0143;0.0032;0.9239;410;0.2564;109;8.043.625;32;15;2.264.615.624;2.026.174.971;3.452.765.591;2.156.137.053
Quintay;15øC;500ppm;0.0135;-0.488391455;-0.440;0.230;-0.250;0.062;0.302;0.146;0.0087;0.0011;0.9022;312;0.0925;28;8.019.875;32.4;15.23;235.829.767;2.222.844.107;3.482.423.185;2.176.849.055
Quintay;10øC;1500ppm;0.0259;-1.201.480.892;-1.000;1.070;0.250;0.113;0.432;0.410;0.0301;0.0046;0.9436;455;0.15876;69;76.595;32.025;10.9;2.297.232.755;665.964.527;1.346.773.574;0.841069432
Quintay;15øC;500ppm;0.0243;-6.580.052.371;-0.430;0.290;0.380;0.155;0.696;0.725;0.0264;0.0046;0.9994;609;0.33578;197;81.435;31.05;15.8;2.349.646.771;1.554.958.367;4.403.017.391;2.742.406.012
Quintay;15øC;500ppm;-0.003;1.797.430.954;-0.020;-0.080;-0.270;0.084;0.632;0.465;0.0132;0.0032;0.8415;132;0.54328;80;79.425;32.375;15.2;2.282.672.244;265.649.682;2.870.471.542;1.794.210.209
Quintay;10øC;1500ppm;0.0135;-1.563.355.057;-3.120;0.620;1.620;0.026;0.422;0.223;0.0106;0.0023;0.9856;445;0.16094;65;7.640.625;32.825;10.4;1.891.297.183;5.822.347.733;1.057.160.004;0.661497101
Quintay;15øC;500ppm;0.016;-4.955.175.219;-0.220;0.010;0.680;0.182;0.464;0.324;0.0164;0.0038;0.9847;207;0.11547;23;81.435;31.05;15.8;2.349.646.771;1.554.958.367;4.403.017.391;2.742.406.012
Quintay;15øC;500ppm;-0.0036;-372.137.414;-0.400;1.220;-0.150;-0.001;0.500;0.170;0.0098;0.002;0.8529;287;0.22203;68;79.425;32.375;15.2;2.282.672.244;265.649.682;2.870.471.542;1.794.210.209
Quintay;10øC;500ppm;0.0357;-4.875.731.042;0.340;0.340;0.640;0.145;0.648;0.498;0.0227;0.0044;0.9192;613;0.18859;107;80.905;31.75;10.8;2.377.678.283;2.244.554.512;3.486.575.124;2.175.823.076
Quintay;15øC;500ppm;0.0181;-7.939.821.082;-0.460;0.600;0.320;0.096;0.716;0.548;0.0293;0.005;0.9931;527;0.28328;138;80.455;31.825;15.8;1.931.834.259;1.662.580.977;2.993.171.672;1.868.282.312
Quintay;15øC;500ppm;0.0039;-4.832.257.826;0.290;0.270;0.690;0.023;0.892;0.488;0.0159;0.0031;0.9298;323;0.59094;235;805.625;32.85;15.4;2.000.759.724;1.685.671.006;3.183.660.021;1.992.227.954
Quintay;10øC;1500ppm;-0.004;-7.885.775.527;0.010;0.770;0.390;0.173;0.702;0.539;0.0254;0.0054;0.9509;225;0.80656;215;780.025;32.3;10.9;1.935.465.082;3.890.110.505;1.553.954.128;0.971130679
Quintay;10øC;1500ppm;-0.0011;0.025391966;0.140;-0.040;0.100;0.120;0.468;0.366;0.0197;0.0044;0.9787;426;0.12203;48;7.651;32.575;10.6;1.961.586.601;5.848.597.216;1.125.344.904;0.703747441
Quintay;10øC;500ppm;0.0043;-0.805088966;-0.190;0.110;0.220;0.033;0.346;0.066;0.004;0.0009;0.9921;409;0.11329;43;80.535;32.525;11;2.368.609.249;2.433.554.079;328.546.813;2.054.358.274
Quintay;15øC;500ppm;0.0352;-8.017.828.813;-0.860;-0.310;1.320;0.122;0.390;0.254;0.0187;0.0026;0.9527;180;0.11391;20;812.675;32.825;14.7;2.302.453.653;1.647.090.106;4.146.071.769;2.594.322.945
Quintay;10øC;1500ppm;0.0087;-9.185.653.427;-3.190;0.400;0.620;0.107;0.490;0.206;0.0067;0.0021;0.9898;416;0.13453;50;7.644.875;32.7;10.8;228.069.447;6.859.616.945;130.573.925;0.816801918
Quintay;15øC;500ppm;0.0286;-4.165.651.442;1.590;0.190;1.660;-0.083;0.358;0.216;0.0163;0.0027;0.9615;536;0.135;63;8.043.625;32;15;2.264.615.624;2.026.174.971;3.452.765.591;2.156.137.053
Quintay;10øC;500ppm;-0.0015;-0.760154813;-0.040;-0.090;0.150;0.230;0.582;0.594;0.0324;0.007;0.8743;156;0.20515;31;80.535;32.525;11;2.358.300.487;2.422.844.569;3.270.531.312;2.045.018.486
Quintay;10øC;500ppm;0.004;-336.578.911;0.220;0.100;0.590;0.107;0.584;0.399;0.0228;0.0038;0.9903;601;0.24516;126;7.982.125;32.95;10.4;1.931.399.445;2.447.545.975;226.752.194;1.419.264.925
Quintay;10øC;1500ppm;-0.0014;-2.798.194.044;-0.070;-0.090;0.380;0.090;0.540;0.533;0.01;0.0014;0.9316;328;0.19547;59;765.275;32.975;10.8;2.287.169.168;673.017.762;1.340.074.243;0.838813711
Quintay;10øC;1500ppm;0.0275;-4.859.192.662;0.150;-0.160;0.830;0.196;0.414;0.409;0.0271;0.0037;0.9887;665;0.09969;65;765.275;32.975;10.8;2.286.169.785;6.727.217.027;1.339.477.404;0.838440122
Quintay;10øC;500ppm;0.0241;-3.992.443.181;-0.130;0.480;0.330;0.115;0.350;0.209;0.0171;0.0034;0.9489;185;0.15859;31;7.982.125;32.95;10.4;1.942.010.413;2.461.178.699;2.280.556.483;1.427.423.377
Quintay;15øC;500ppm;0.025;-4.204.009.515;-0.650;-0.240;0.570;0.079;0.684;0.532;0.0273;0.0049;0.8804;515;0.17125;84;81.435;31.05;15.8;2.374.753.605;157.175.235;4.452.848.914;2.773.443.425
Quintay;10øC;1500ppm;0.0123;-7.549.479.392;-0.230;-0.320;1.680;0.095;0.612;0.376;0.0215;0.0031;0.9706;793;0.21125;154;765.275;32.975;10.8;2.286.169.785;6.727.217.027;1.339.477.404;0.838440122
Quintay;10øC;1500ppm;0.0191;-1.851.458.882;-0.460;0.360;-0.010;0.057;0.392;0.158;0.012;0.0017;0.8467;293;0.27703;81;7.644;32.925;10.9;2.286.172.588;6.856.908.819;1.316.155.017;0.823747747
Quintay;15øC;1500ppm;-0.0005;7.730.166.129;0.100;-0.450;-0.570;0.190;0.622;0.642;0.0184;0.0029;0.9822;768;0.16063;111;773.025;32.35;15.4;2.008.235.912;4.078.594.569;1.601.591.903;1.001.025.551
Quintay;15øC;1500ppm;-0.0004;1.857.864.775;-0.090;-0.310;-0.100;0.183;0.498;0.319;0.0029;0.0002;0.9729;489;0.18797;83;774.225;32.85;15.5;2.314.494.556;452.264.378;1.928.318.278;120.667.708
Quintay;15øC;500ppm;0.0054;-3.835.607.968;0.230;0.380;0.400;0.205;0.626;0.399;0.0207;0.0044;0.8761;226;0.535;149;8.019.875;32.4;15.23;2.351.340.861;2.216.245.718;3.471.622.465;2.170.097.568
Quintay;15øC;1500ppm;0.02;-7.997.918.743;-0.620;0.240;0.570;0.076;0.594;0.537;0.026;0.0048;0.9052;240;0.75281;222;773.575;31.95;15.3;2.308.247.401;4.653.445.189;185.227.128;1.156.531.885
Quintay;15øC;500ppm;0.0244;-4.665.940.902;0.030;0.780;0.250;0.090;0.504;0.314;0.0174;0.0037;0.9472;581;0.13078;69;81.435;31.05;15.8;2.374.753.605;157.175.235;4.452.848.914;2.773.443.425
Quintay;15øC;500ppm;0.4015;0.250668293;-0.050;0.250;-0.260;0.101;0.578;0.427;0.0122;0.0023;0.9738;265;0.13344;32;79.425;32.375;15.2;2.260.673.149;2.630.783.773;2.841.509.585;1.776.107.316
Quintay;15øC;1500ppm;0.0289;-2.441.971.971;-0.160;0.030;0.320;0.158;0.410;0.286;0.0226;0.005;0.9026;410;0.13;55;7.746.375;31.725;15.5;2.277.701.648;4.437.929.771;1.875.063.228;1.170.069.126
Quintay;15øC;500ppm;-0.002;-3.549.788.589;0.270;0.500;0.110;0.302;0.676;0.667;0.0323;0.0065;0.9263;204;0.58532;139;8.047.666.667;3.226.666.667;15.4;2.300.921.407;1.997.541.872;3.597.926.635;2.248.307.505
Quintay;15øC;500ppm;0.0193;-5.696.159.076;-0.140;0.200;0.570;0.085;0.512;0.417;0.0111;0.0034;0.9467;97;0.41562;41;8.010.333.333;3.273.333.333;15.1;2.312.599.614;2.243.046.257;335.068.556;2.096.177.357
Quintay;10øC;1500ppm;-0.0023;1.617.363.425;0.090;-0.040;-0.110;0.183;0.598;0.606;0.0296;0.0061;0.867;267;0.30016;85;7.644.875;32.7;10.8;2.268.420.644;6.822.451.393;1.298.581.504;0.812324408
Quintay;10øC;500ppm;0.0392;-374.017.332;0.290;0.250;0.520;0.068;0.422;0.335;0.0217;0.0039;0.9869;298;0.15438;44;800.975;33.275;10.6;1.998.606.805;2.329.325.713;2.515.312.539;1.575.498.759
Quintay;15øC;500ppm;0.0187;-7.789.100.412;-0.200;0.820;0.590;0.092;0.554;0.316;0.0186;0;1;282;1;18.850.617;80.455;31.825;15.8;1.900.222.425;1.635.063.926;2.941.126.283;1.835.796.544
Quintay;10øC;500ppm;-0.0021;-4.559.824.602;-0.130;0.450;0.500;0.106;0.342;0.182;0.0108;0.0023;1;332;0;38;800.975;33.275;10.6;200.504.802;2.336.940.201;2.523.809.446;1.580.820.907
Quintay;15øC;1500ppm;0.027;-4.537.161.673;-0.120;0.410;0.400;0.105;0.352;0.270;0.0192;0.0037;0.8701;338;0.16813;61;77.175;32.425;15.1;2.288.255.155;4.861.140.403;1.766.385.524;1.104.228.297
Quintay;15øC;500ppm;0.023;-131.259.536;-0.540;0.200;-0.080;0.109;0.358;0.160;0.0115;0.0031;0.9942;134;0.14391;19;805.625;32.85;15.4;2.082.967.604;1.755.766.941;3.322.750.831;207.926.633
Quintay;10øC;1500ppm;0.0009;-0.636815403;-0.040;-0.200;0.250;0.130;0.630;0.550;0.0227;0.004;0.9973;857;0.31141;253;765.275;32.975;10.8;2.287.169.168;673.017.762;1.340.074.243;0.838813711
Quintay;10øC;1500ppm;0.1076;9.332.846.914;2.030;-1.900;1.060;0.227;0.450;0.356;0.0239;0.0046;0.9817;287;0.17938;47;7.651;32.575;10.6;1.983.423.193;591.424.838;113.813.882;0.711748265
Quintay;15øC;500ppm;0.0248;-3.963.740.901;-0.420;-0.010;0.370;0.121;0.644;0.480;0.0277;0.0054;0.9836;369;0.37734;124;812.675;32.825;14.7;2.343.447.901;1.676.793.955;4.224.320.939;2.643.285.825
Quintay;10øC;500ppm;0.0016;-6.339.296.765;-0.150;0.750;-0.060;0.247;0.656;0.784;0;0;1;293;0;7.764.579;8.103.375;32.725;10;2.345.651.721;21.950.814;3.491.862.634;218.445.449
Quintay;10øC;1500ppm;0.0161;-5.808.647.985;-0.170;0.410;0.290;0.033;0.824;0.655;0.0304;0.0029;0.9673;422;0.36047;157;781.375;32.925;10.5;2.310.505.015;45.414.716;1.917.146.955;1.199.893.223
Quintay;15øC;500ppm;0.0014;216.696.424;0.280;-0.160;-0.060;0.111;0.394;0.160;0.0187;0.004;0.9308;305;0.3189;103;8.043.625;32;15;2.279.124.666;2.039.258.544;3.476.075.272;2.170.693.172
Quintay;15øC;1500ppm;-0.0043;-0.513675531;0.100;0.320;-0.170;0.184;0.560;0.492;0.0276;0.0062;0.9864;544;0.19672;94;774.225;32.85;15.5;2.314.494.556;452.264.378;1.928.318.278;120.667.708
Quintay;10øC;1500ppm;0.0205;-5.721.630.923;-0.430;0.340;0.310;0.160;0.542;0.458;0.0321;0.0068;0.978;708;0.15343;93;76.595;32.025;10.9;2.301.644.276;6.672.515.854;1.349.408.814;0.842715158
Quintay;15øC;1500ppm;0.0032;-1.269.280.567;0.060;0.330;-0.090;0.249;0.776;0.608;0.0231;0.0042;0.993;699;0.24359;160;7.746.375;31.725;15.5;2.277.701.648;4.437.929.771;1.875.063.228;1.170.069.126
Quintay;10øC;1500ppm;0.0127;-1.293.876.355;0.030;-0.370;0.550;0.129;0.624;0.436;0;0;1;427;0;113;7.640.625;32.825;10.4;1.886.266.353;5.806.720.641;1.054.288.363;0.659700228
Quintay;15øC;500ppm;0.0121;-7.354.452.903;-0.030;0.860;0.510;0.104;0.500;0.349;0.009;0.0003;0.9657;204;0.27438;47;8.047.666.667;3.226.666.667;15.4;2.322.596.692;2.016.503.314;3.633.672.503;2.270.644.731
Quintay;15øC;500ppm;0.1989;-0.279097016;0.010;0.450;-0.230;0.151;0.406;0.286;0.0098;0.0027;0.932;270;0.18593;53;8.010.333.333;3.273.333.333;15.1;2.319.339.985;2.249.627.236;3.360.957.467;2.102.603.426
Quintay;10øC;500ppm;-0.0024;-5.957.770.939;0.090;0.160;1.150;0.086;0.608;0.344;0.0128;0.0023;0.9803;628;0.15984;92;803.425;32.775;10.8;2.316.854.763;2.522.150.603;3.080.715.667;1.927.473.107
Quintay;10øC;1500ppm;0.0083;-2.292.077.582;-3.160;2.480;2.390;0.183;0.590;0.312;0.0201;0.0029;0.93;590;0.24906;140;780.025;32.3;10.9;1.917.993.249;3.854.695.953;1.539.471.578;0.962079929
Quintay;15øC;1500ppm;0.0118;-5.347.837.494;-0.120;0.540;0.540;0.103;0.754;0.317;0.014;0.002;0.9341;360;0.43781;168;784.275;32.225;15.4;2.326.660.171;3.511.568.631;2.381.293.275;1.487.890.545
Quintay;10øC;500ppm;0.0083;0.171303747;-0.130;-0.250;0.050;0.048;0.282;0.075;0.0045;0.0002;1;261;0;28;8.006.666.667;3.303.333.333;10.7;2.293.016.645;2.692.673.683;288.389.231;1.805.398.039
Quintay;10øC;1500ppm;-0.0034;2.626.602.464;-0.020;-0.060;-0.370;0.140;0.658;0.462;0.0172;0.0034;0.9656;474;0.46234;197;7.651;32.575;10.6;1.983.423.193;591.424.838;113.813.882;0.711748265
Quintay;10øC;500ppm;-0.0023;-2.102.590.053;-0.100;0.010;0.200;0.391;0.710;0.732;0.0298;0.0073;0.9916;452;0.19468;84;8.006.666.667;3.303.333.333;10.7;2.317.440.282;2.721.659.999;2.915.921.179;1.825.449.015
Quintay;10øC;500ppm;-0.0051;4.833.382.741;-0.040;-1.540;0.710;0.220;0.604;0.485;0.0244;0.0049;0.9704;229;0.32922;72;7.981.833.333;3.283.333.333;10.7;2.282.237.292;2.866.835.783;2.718.234.292;1.700.914.537
Quintay;10øC;500ppm;0;-6.891.633.022;0.020;1.210;0.080;0.152;0.434;0.373;0.022;0.0055;0.969;579;0.12156;61;799.475;32.425;10.75;2.341.210.252;2.845.317.768;2.852.151.616;1.782.977.997
Quintay;10øC;1500ppm;0.0096;-1.031.613.222;0.520;1.320;0.890;0.169;0.498;0.421;0.0172;0.0033;0.9896;410;0.30797;121;7.644.875;32.7;10.8;228.069.447;6.859.616.945;130.573.925;0.816801918
Quintay;15øC;500ppm;0.0009;-1.091.160.676;0.170;0.510;0.010;0.021;0.392;0.164;0.01;0.0014;0.9749;313;0.2361;76;8.019.875;32.4;15.23;235.829.767;2.222.844.107;3.482.423.185;2.176.849.055
Quintay;15øC;1500ppm;0.0093;-14.660.799;0.080;1.200;-0.400;0.060;0.334;0.099;0.0049;0.001;0.96;564;0.1725;89;7.777.375;31.475;16;2.336.868.346;4.122.151.713;2.086.260.747;1.300.978.001
Quintay;15øC;500ppm;0.0158;-3.235.837.824;0.300;0.480;0.230;-0.037;0.730;0.471;0.0314;0.0062;0.7032;96;0.465;50;81.435;31.05;15.8;2.349.646.771;1.554.958.367;4.403.017.391;2.742.406.012
Quintay;15øC;500ppm;0.1211;-9.265.644.466;-0.920;0.340;1.030;0.289;0.426;0.263;0.0136;0.0036;0.9079;453;0.13672;60;79.425;32.375;15.2;2.282.672.244;265.649.682;2.870.471.542;1.794.210.209
